Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,139,2,Some Random Commen with Id 0
1,0,9,179,6,Some Random Commen with Id 1
2,0,9,49,0,Some Random Commen with Id 2
3,0,9,41,1,Some Random Commen with Id 3
4,0,9,80,7,Some Random Commen with Id 4
5,0,9,78,9,Some Random Commen with Id 5
6,0,9,53,7,Some Random Commen with Id 6
7,0,9,192,0,Some Random Commen with Id 7
8,1,9,152,3,Some Random Commen with Id 8
9,1,9,51,8,Some Random Commen with Id 9
10,1,9,116,9,Some Random Commen with Id 10
11,1,9,10,9,Some Random Commen with Id 11
12,1,9,96,8,Some Random Commen with Id 12
13,1,9,70,3,Some Random Commen with Id 13
14,1,9,176,2,Some Random Commen with Id 14
15,1,9,68,2,Some Random Commen with Id 15
16,2,5,121,6,Some Random Commen with Id 16
17,2,5,42,8,Some Random Commen with Id 17
18,2,5,2,5,Some Random Commen with Id 18
19,2,5,106,7,Some Random Commen with Id 19
20,2,5,35,1,Some Random Commen with Id 20
21,2,5,177,9,Some Random Commen with Id 21
22,3,7,123,5,Some Random Commen with Id 22
23,4,3,12,1,Some Random Commen with Id 23
24,4,3,165,9,Some Random Commen with Id 24
25,4,3,92,2,Some Random Commen with Id 25
26,4,3,8,2,Some Random Commen with Id 26
27,4,3,22,4,Some Random Commen with Id 27
28,4,3,61,7,Some Random Commen with Id 28
29,4,3,23,7,Some Random Commen with Id 29
30,5,0,166,8,Some Random Commen with Id 30
31,5,0,67,8,Some Random Commen with Id 31
32,5,0,156,6,Some Random Commen with Id 32
33,5,0,30,6,Some Random Commen with Id 33
34,5,0,8,4,Some Random Commen with Id 34
35,5,0,10,9,Some Random Commen with Id 35
36,5,0,55,7,Some Random Commen with Id 36
37,5,0,119,6,Some Random Commen with Id 37
38,5,0,111,2,Some Random Commen with Id 38
39,6,0,31,9,Some Random Commen with Id 39
40,6,0,40,4,Some Random Commen with Id 40
41,6,0,53,9,Some Random Commen with Id 41
42,6,0,91,1,Some Random Commen with Id 42
43,6,0,107,9,Some Random Commen with Id 43
44,6,0,19,4,Some Random Commen with Id 44
45,6,0,166,9,Some Random Commen with Id 45
46,6,0,102,8,Some Random Commen with Id 46
47,6,0,53,5,Some Random Commen with Id 47
48,7,4,123,8,Some Random Commen with Id 48
49,7,4,186,8,Some Random Commen with Id 49
50,7,4,0,1,Some Random Commen with Id 50
51,8,1,162,7,Some Random Commen with Id 51
52,8,1,167,6,Some Random Commen with Id 52
53,8,1,4,3,Some Random Commen with Id 53
54,8,1,130,9,Some Random Commen with Id 54
55,8,1,136,7,Some Random Commen with Id 55
56,8,1,98,8,Some Random Commen with Id 56
57,9,0,165,8,Some Random Commen with Id 57
58,9,0,161,0,Some Random Commen with Id 58
59,9,0,110,8,Some Random Commen with Id 59
60,9,0,186,2,Some Random Commen with Id 60
61,9,0,143,1,Some Random Commen with Id 61
62,9,0,76,2,Some Random Commen with Id 62
63,10,8,83,1,Some Random Commen with Id 63
64,10,8,169,7,Some Random Commen with Id 64
65,10,8,137,0,Some Random Commen with Id 65
66,10,8,6,6,Some Random Commen with Id 66
67,10,8,119,7,Some Random Commen with Id 67
68,10,8,3,1,Some Random Commen with Id 68
69,10,8,196,9,Some Random Commen with Id 69
70,10,8,190,4,Some Random Commen with Id 70
71,11,5,107,5,Some Random Commen with Id 71
72,12,7,105,4,Some Random Commen with Id 72
73,12,7,40,4,Some Random Commen with Id 73
74,12,7,79,9,Some Random Commen with Id 74
75,12,7,15,0,Some Random Commen with Id 75
76,13,0,155,3,Some Random Commen with Id 76
77,13,0,23,3,Some Random Commen with Id 77
78,13,0,192,5,Some Random Commen with Id 78
79,13,0,89,5,Some Random Commen with Id 79
80,14,8,30,2,Some Random Commen with Id 80
81,14,8,60,9,Some Random Commen with Id 81
82,14,8,19,0,Some Random Commen with Id 82
83,14,8,99,5,Some Random Commen with Id 83
84,14,8,16,1,Some Random Commen with Id 84
85,14,8,51,4,Some Random Commen with Id 85
86,14,8,57,4,Some Random Commen with Id 86
87,14,8,145,7,Some Random Commen with Id 87
88,14,8,27,0,Some Random Commen with Id 88
89,15,0,172,3,Some Random Commen with Id 89
90,15,0,11,7,Some Random Commen with Id 90
91,15,0,183,5,Some Random Commen with Id 91
92,15,0,186,5,Some Random Commen with Id 92
93,15,0,140,8,Some Random Commen with Id 93
94,15,0,79,4,Some Random Commen with Id 94
95,15,0,88,4,Some Random Commen with Id 95
96,17,9,11,2,Some Random Commen with Id 96
97,17,9,32,5,Some Random Commen with Id 97
98,17,9,58,5,Some Random Commen with Id 98
99,17,9,91,1,Some Random Commen with Id 99
100,17,9,43,4,Some Random Commen with Id 100
101,17,9,39,0,Some Random Commen with Id 101
102,17,9,103,3,Some Random Commen with Id 102
103,18,2,73,2,Some Random Commen with Id 103
104,18,2,109,7,Some Random Commen with Id 104
105,18,2,3,0,Some Random Commen with Id 105
106,19,2,28,7,Some Random Commen with Id 106
107,19,2,124,1,Some Random Commen with Id 107
108,19,2,107,3,Some Random Commen with Id 108
109,19,2,64,1,Some Random Commen with Id 109
110,19,2,35,1,Some Random Commen with Id 110
111,20,0,43,4,Some Random Commen with Id 111
112,20,0,155,4,Some Random Commen with Id 112
113,20,0,49,3,Some Random Commen with Id 113
114,20,0,24,3,Some Random Commen with Id 114
115,20,0,26,1,Some Random Commen with Id 115
116,20,0,183,2,Some Random Commen with Id 116
117,21,6,156,0,Some Random Commen with Id 117
118,21,6,185,7,Some Random Commen with Id 118
119,21,6,97,8,Some Random Commen with Id 119
120,21,6,24,2,Some Random Commen with Id 120
121,22,0,98,0,Some Random Commen with Id 121
122,22,0,144,2,Some Random Commen with Id 122
123,23,1,155,2,Some Random Commen with Id 123
124,23,1,2,4,Some Random Commen with Id 124
125,23,1,173,5,Some Random Commen with Id 125
126,23,1,23,2,Some Random Commen with Id 126
127,23,1,41,7,Some Random Commen with Id 127
128,23,1,121,9,Some Random Commen with Id 128
129,23,1,197,2,Some Random Commen with Id 129
130,23,1,133,4,Some Random Commen with Id 130
131,23,1,128,1,Some Random Commen with Id 131
132,24,8,195,0,Some Random Commen with Id 132
133,24,8,21,8,Some Random Commen with Id 133
134,24,8,19,5,Some Random Commen with Id 134
135,24,8,133,9,Some Random Commen with Id 135
136,24,8,136,7,Some Random Commen with Id 136
137,24,8,169,0,Some Random Commen with Id 137
138,24,8,22,8,Some Random Commen with Id 138
139,24,8,83,2,Some Random Commen with Id 139
140,26,1,135,7,Some Random Commen with Id 140
141,26,1,190,0,Some Random Commen with Id 141
142,26,1,173,8,Some Random Commen with Id 142
143,26,1,114,4,Some Random Commen with Id 143
144,26,1,70,4,Some Random Commen with Id 144
145,26,1,87,9,Some Random Commen with Id 145
146,26,1,6,4,Some Random Commen with Id 146
147,26,1,49,8,Some Random Commen with Id 147
148,26,1,183,1,Some Random Commen with Id 148
149,27,7,70,1,Some Random Commen with Id 149
150,27,7,135,5,Some Random Commen with Id 150
151,27,7,20,1,Some Random Commen with Id 151
152,27,7,153,7,Some Random Commen with Id 152
153,27,7,111,7,Some Random Commen with Id 153
154,27,7,92,0,Some Random Commen with Id 154
155,27,7,45,1,Some Random Commen with Id 155
156,27,7,109,5,Some Random Commen with Id 156
157,27,7,29,3,Some Random Commen with Id 157
158,28,9,65,8,Some Random Commen with Id 158
159,28,9,55,9,Some Random Commen with Id 159
160,28,9,196,4,Some Random Commen with Id 160
161,28,9,159,4,Some Random Commen with Id 161
162,28,9,84,7,Some Random Commen with Id 162
163,28,9,137,4,Some Random Commen with Id 163
164,28,9,180,6,Some Random Commen with Id 164
165,29,3,57,7,Some Random Commen with Id 165
166,29,3,104,7,Some Random Commen with Id 166
167,29,3,7,5,Some Random Commen with Id 167
168,29,3,162,3,Some Random Commen with Id 168
169,29,3,167,6,Some Random Commen with Id 169
170,29,3,171,9,Some Random Commen with Id 170
171,29,3,159,1,Some Random Commen with Id 171
172,29,3,137,1,Some Random Commen with Id 172
173,30,6,131,8,Some Random Commen with Id 173
174,31,0,100,8,Some Random Commen with Id 174
175,31,0,136,1,Some Random Commen with Id 175
176,32,6,79,4,Some Random Commen with Id 176
177,32,6,155,3,Some Random Commen with Id 177
178,32,6,130,6,Some Random Commen with Id 178
179,32,6,142,3,Some Random Commen with Id 179
180,32,6,40,1,Some Random Commen with Id 180
181,32,6,25,6,Some Random Commen with Id 181
182,33,0,164,8,Some Random Commen with Id 182
183,33,0,96,4,Some Random Commen with Id 183
184,33,0,121,8,Some Random Commen with Id 184
185,36,4,10,9,Some Random Commen with Id 185
186,36,4,167,8,Some Random Commen with Id 186
187,36,4,16,4,Some Random Commen with Id 187
188,36,4,140,3,Some Random Commen with Id 188
189,36,4,122,4,Some Random Commen with Id 189
190,37,6,125,5,Some Random Commen with Id 190
191,37,6,64,1,Some Random Commen with Id 191
192,37,6,28,7,Some Random Commen with Id 192
193,38,1,172,2,Some Random Commen with Id 193
194,38,1,44,5,Some Random Commen with Id 194
195,38,1,44,0,Some Random Commen with Id 195
196,38,1,148,5,Some Random Commen with Id 196
197,39,8,110,5,Some Random Commen with Id 197
198,39,8,182,0,Some Random Commen with Id 198
